"Indicatif","HeureStart","HeureStop","TempsAttentePiste","TempsArretTotal"
0,53,1219,0,0
1,305,1398,129,0
3,3830,4711,0,0
2,3714,4988,60,0
4,10627,11795,0,0
5,10958,11914,20,0
7,12601,13557,0,0
6,12508,13711,0,0
9,14250,15218,0,0
8,14072,15397,116,0
10,15619,16802,60,0
11,15898,16981,161,0
13,17769,18675,0,0
12,17631,18794,23,0
15,19641,20606,0,0
14,19609,20824,0,0
17,20271,21240,0,0
16,20179,21393,0,0
19,20891,21917,60,0
18,20748,22096,136,0
20,21316,22423,0,0
21,21512,22602,120,0
22,21886,23145,60,0
23,22135,23324,218,0
24,22269,23446,0,0
26,22683,23650,0,0
25,22668,23825,0,0
28,23215,24171,0,0
27,23061,24350,89,0
29,23451,24595,0,0
30,23743,24714,10,0
31,23858,25061,0,0
33,24276,25251,60,0
32,24257,25523,60,0
35,24812,25825,60,0
34,24663,26004,235,0
36,25044,26221,0,0
37,25340,26340,57,0
39,25726,26598,0,0
38,25439,26717,86,0
41,26125,27141,60,0
40,25892,27320,231,0
43,26512,27524,60,0
42,26356,27643,107,0
45,26906,27933,60,0
44,26818,28052,31,0
47,27296,28281,60,0
46,27276,28463,0,0
48,27688,28589,0,0
49,27741,28954,0,0
50,28079,29073,64,0
51,28207,29480,60,0
52,28479,29659,235,0
54,28872,29778,4,0
53,28656,29897,72,0
56,29264,30225,0,0
55,29111,30344,20,0
57,29390,30571,0,0
58,29655,30750,140,0
59,29680,30876,0,0
61,30060,31055,61,0
60,29959,31174,7,0
63,30461,31422,0,0
62,30239,31541,105,0
64,30514,31783,60,0
66,30858,31902,96,0
65,30826,32034,0,0
67,31101,32190,0,0
68,31251,32369,176,0
69,31412,32637,60,0
70,31639,32756,159,0
71,31698,32875,28,0
73,32031,32994,23,0
72,31996,33173,142,0
75,32427,33359,0,0
74,32287,33502,0,0
76,32566,33736,0,0
77,32781,33855,107,0
79,33122,34107,60,0
78,32969,34286,149,0
81,33468,34421,0,0
80,33386,34600,79,0
83,33813,34810,60,0
82,33801,34996,0,0
84,34164,35115,15,0
85,34202,35365,0,0
86,34514,35484,14,0
87,34604,35773,60,0
88,34859,35892,74,0
90,35214,36159,0,0
89,35005,36278,67,0
92,35559,36526,0,0
91,35424,36645,37,0
94,35912,36880,0,0
93,35826,36999,18,0
96,36268,37289,60,0
95,36232,37489,60,0
98,36608,37608,46,0
97,36465,37727,64,0
99,36692,37846,18,0
101,36954,37965,46,0
100,36917,38122,0,0
103,37304,38334,60,0
102,37157,38453,83,0
104,37389,38603,0,0
106,37649,38782,171,0
105,37609,38961,146,0
108,37989,39080,123,0
107,37835,39259,216,0
111,38324,39378,105,0
109,38077,39497,208,0
110,38284,39616,126,0
113,38671,39735,113,0
112,38516,39854,124,0
114,38743,40033,114,0
116,39005,40152,221,0
118,39345,40331,150,0
115,38987,40450,249,0
117,39216,40629,255,0
120,39685,40748,174,0
119,39456,40867,228,0
121,39697,41046,245,0
123,39996,41225,269,0
122,39987,41404,213,0
125,40307,41523,245,0
124,40288,41642,144,0
127,40609,41821,246,0
126,40590,41940,226,0
129,40918,42059,238,0
128,40893,42178,109,0
131,41233,42297,120,0
130,41174,42416,115,0
133,41534,42535,127,0
132,41457,42654,90,0
135,41847,42818,0,0
134,41768,42954,0,0
137,42159,43120,0,0
136,42060,43261,0,0
139,42474,43419,0,0
138,42355,43563,0,0
141,42780,43703,0,0
140,42659,43882,74,0
143,43081,44093,60,0
142,42963,44212,54,0
145,43393,44394,60,0
144,43268,44573,229,0
147,43671,44692,53,0
146,43604,44879,60,0
149,43939,44998,129,0
148,43921,45196,60,0
150,44214,45315,148,0
151,44250,45434,42,0
152,44491,45553,100,0
154,44769,45689,0,0
153,44579,45868,107,0
156,45040,45991,0,0
155,44889,46170,116,0
158,45321,46349,60,0
157,45227,46528,108,0
160,45601,46647,83,0
159,45547,46826,80,0
162,45872,46945,103,0
161,45866,47076,0,0
163,46150,47255,144,0
164,46197,47392,0,0
165,46425,47571,177,0
167,46703,47690,47,0
166,46517,47809,99,0
169,46980,47939,0,0
168,46849,48058,15,0
171,47435,48404,0,0
170,47337,48583,67,0
173,47887,48852,0,0
172,47815,49022,0,0
175,48341,49293,0,0
174,48299,49453,0,0
177,48794,49739,0,0
176,48793,50066,60,0
178,49250,50260,60,0
179,49298,50475,0,0
180,49704,50656,0,0
181,49770,50963,0,0
182,50164,51094,0,0
183,50253,51483,60,0
184,50614,51602,36,0
185,50748,51887,0,0
186,51052,52014,0,0
188,51492,52424,0,0
187,51308,52543,50,0
190,51940,52911,0,0
189,51850,53060,0,0
191,52377,53320,0,0
192,52394,53574,0,0
193,52815,53844,60,0
194,52950,54142,0,0
195,53252,54261,45,0
196,53475,54649,0,0
197,53690,54768,107,0
199,54132,55161,60,0
198,54022,55280,120,0
200,54488,55452,0,0
201,54515,55694,0,0
202,54843,55813,31,0
