Indicatif,HeureStart,HeureStop,TempsAttentePiste,TempsArretTotal
0,2531,3455,0,0
1,3365,4569,0,0
2,6075,7104,60,0
3,6953,8139,0,0
4,13169,14187,60,0
5,14054,15245,0,0
6,14760,15710,0,0
7,15583,16792,0,0
8,16595,17564,0,0
9,17465,18667,0,0
10,18438,19407,0,0
11,18943,19966,60,0
13,19452,20376,0,0
12,19363,20544,0,0
14,19957,20900,0,0
15,20000,21167,0,0
16,20469,21420,60,0
17,20642,21810,0,0
18,20972,21929,0,0
19,21267,22331,0,0
20,21477,22450,54,0
22,21978,22826,0,0
21,21915,23120,0,0
24,22434,23366,0,0
23,22423,23635,0,0
25,22890,23876,60,0
26,22939,24111,0,0
27,23342,24326,60,0
28,23461,24668,0,0
29,23795,24787,36,0
30,23990,25202,0,0
31,24238,25321,116,0
33,24674,25686,60,0
32,24513,25865,173,0
35,25118,26073,0,0
34,25035,26253,60,0
37,25569,26525,0,0
36,25545,26655,0,0
39,26156,27091,0,0
38,26125,27322,0,0
41,26739,27726,60,0
40,26702,27877,0,0
43,27327,28339,60,0
42,27261,28465,0,0
45,27916,28905,60,0
44,27830,29094,60,0
47,28504,29471,0,0
46,28397,29590,43,0
49,29078,30018,0,0
48,28962,30145,0,0
50,29210,30353,0,0
52,29468,30472,55,0
51,29451,30653,0,0
54,29859,30792,0,0
53,29703,30911,38,0
55,29980,31175,0,0
57,30251,31294,73,0
56,30219,31473,80,0
59,30638,31592,84,0
58,30461,31711,118,0
60,30735,31925,0,0
62,31036,32044,45,0
61,31013,32283,60,0
64,31429,32402,3,0
63,31265,32521,41,0
65,31518,32750,60,0
67,31826,32929,156,0
66,31776,33048,65,0
68,32020,33227,17,0
69,32217,33346,184,0
70,32272,33465,6,0
72,32604,33584,18,0
71,32515,33703,26,0
74,33071,34041,0,0
73,32893,34160,62,0
76,33544,34501,1,0
75,33267,34620,179,0
77,33653,34739,15,0
78,34012,34956,0,0
79,34033,35186,0,0
81,34489,35459,0,0
80,34404,35611,0,0
83,34959,35917,0,0
82,34771,36036,50,0
85,35431,36354,25,0
84,35148,36533,239,0
86,35533,36746,0,0
87,35891,36925,109,0
88,35922,37182,60,0
90,36362,37301,11,0
89,36301,37557,60,0
92,36770,37723,0,0
91,36615,37902,150,0
94,37184,38088,0,0
93,36929,38207,93,0
97,37597,38514,10,0
95,37246,38633,179,0
96,37561,38752,1,0
99,37994,38971,60,0
98,37888,39090,82,0
101,38401,39338,0,0
100,38202,39457,62,0
102,38518,39760,60,0
103,38818,39939,153,0
104,38840,40058,36,0
106,39224,40246,60,0
105,39147,40425,71,0
108,39642,40643,44,0
107,39460,40762,179,0
110,39945,40901,0,0
109,39786,41020,118,0
112,40256,41169,0,0
111,40054,41288,66,0
113,40304,41407,42,0
115,40556,41586,69,0
114,40549,41706,0,0
117,40860,41825,64,0
116,40802,41959,0,0
119,41166,42123,0,0
118,41050,42242,0,0
121,41472,42436,60,0
120,41306,42555,35,0
123,41779,42685,0,0
122,41548,42864,108,0
126,42087,43066,32,0
124,41809,43245,239,0
128,42398,43364,35,0
125,42066,43483,225,0
127,42325,43602,80,0
129,42572,43781,31,0
130,42709,43900,232,0
131,42828,44079,58,0
134,43318,44258,0,0
133,43086,44377,171,0
132,43011,44496,536,0
136,43542,44615,119,0
139,43758,44734,24,0
137,43544,44853,111,0
135,43346,45032,565,0
140,43960,45211,45,0
142,44170,45330,84,0
138,43733,45449,516,0
141,43982,45568,619,0
143,44199,45687,548,0
149,44854,45866,51,0
145,44411,45985,603,0
147,44629,46104,516,0
144,44380,46223,631,0
146,44598,46342,543,0
152,45205,46461,80,0
148,44794,46580,592,0
151,45083,46699,654,0
153,45296,46818,644,0
150,44995,46937,747,0
155,45517,47116,648,0
154,45410,47235,617,0
157,45732,47354,677,0
156,45631,47473,638,0
159,45949,47652,752,0
158,45828,47771,768,0
161,46168,47890,790,0
160,46025,48069,940,0
163,46379,48188,845,0
162,46240,48307,906,0
165,46594,48426,862,0
164,46443,48545,906,0
167,46815,48664,894,0
166,46662,48843,1059,0
168,46861,48962,923,0
169,47179,49081,1013,0
170,47268,49200,726,0
171,47536,49319,838,0
172,47649,49438,656,0
173,47899,49557,697,0
174,48013,49736,515,0
175,48262,49855,625,0
178,48801,50034,36,0
176,48407,50213,627,0
177,48627,50332,741,0
179,48986,50451,539,0
180,49177,50630,261,0
181,49344,50809,515,0
182,49561,50928,162,0
185,50068,51047,17,0
184,49959,51166,113,0
183,49707,51285,608,0
187,50429,51404,67,0
186,50345,51551,0,0
189,50777,51738,0,0
188,50729,51944,0,0
190,51116,52123,104,0
192,51468,52442,42,0
191,51203,52561,179,0
194,51814,52767,0,0
193,51707,52906,0,0
195,52170,53196,60,0
196,52202,53445,60,0
197,52521,53624,136,0
198,52682,53894,49,0
199,52875,54013,179,0
201,53232,54191,0,0
200,53166,54349,0,0
202,53580,54597,60,0
203,53651,54865,0,0
204,53932,54984,105,0
206,54278,55228,0,0
205,54133,55407,99,0
208,54800,55763,0,0
207,54620,55942,159,0
210,55326,56294,0,0
209,55100,56413,106,0
211,55586,56779,0,0
212,55860,56898,71,0
213,56078,57251,0,0
214,56395,57370,6,0
215,56567,57749,0,0
216,56921,57872,0,0
217,57059,58261,0,0
218,57447,58394,0,0
219,57556,58825,60,0
220,57978,59004,72,0
221,58061,59252,0,0
222,58395,59371,22,0
224,58811,59808,46,0
223,58538,59927,179,0
226,59226,60207,13,0
225,59016,60326,179,0
228,59636,60606,0,0
227,59511,60785,84,0
230,60050,61007,0,0
229,59982,61186,69,0
231,60462,61426,0,0
232,60464,61610,60,0
233,60877,61840,0,0
234,60942,62114,0,0
235,61298,62233,0,0
236,61415,62484,0,0
237,61785,62805,60,0
238,61791,63011,60,0
240,62276,63242,60,0
239,62163,63429,60,0
241,62531,63703,0,0
242,62758,63822,98,0
243,62917,64155,60,0
244,63245,64274,67,0
245,63309,64542,60,0
247,63731,64663,0,0
246,63678,64842,0,0
249,64219,65223,60,0
248,64056,65342,75,0
250,64442,65640,0,0
251,64706,65819,165,0
252,64809,65998,86,0
253,65187,66117,26,0
254,65350,66529,0,0
255,65698,66715,60,0
256,65893,67085,0,0
257,66211,67204,50,0
258,66435,67572,0,0
259,66722,67751,95,0
260,66966,68134,0,0
261,67231,68313,112,0
262,67501,68626,0,0
263,67750,68745,40,0
265,68268,69227,0,0
264,68053,69406,140,0
267,68780,69731,0,0
266,68580,69850,96,0
268,68824,70038,0,0
270,69092,70157,105,0
269,69070,70336,87,0
272,69413,70455,105,0
271,69317,70574,65,0
274,69730,70693,9,0
273,69581,70812,30,0
275,69822,71018,27,0
276,70044,71137,179,0
277,70068,71277,0,0
279,70357,71396,110,0
278,70304,71575,67,0
281,70666,71694,75,0
280,70545,71813,80,0
283,70980,71932,32,0
282,70779,72111,141,0
284,71019,72230,17,0
286,71292,72349,88,0
285,71264,72479,0,0
288,71607,72598,24,0
287,71508,72717,28,0
289,71756,72952,27,0
290,71926,73071,179,0
291,72016,73270,43,0
292,72244,73389,179,0
294,72573,73508,24,0
293,72363,73627,76,0
296,72888,73828,0,0
295,72724,73947,41,0
298,73210,74173,0,0
297,73078,74292,44,0
300,73528,74550,60,0
299,73453,74669,11,0
302,73854,74788,23,0
301,73807,75015,0,0
303,74170,75134,52,0
304,74173,75369,0,0
305,74487,75488,47,0
306,74542,75621,0,0
307,74806,75819,60,0
309,75122,76092,0,0
308,74907,76271,153,0
311,75444,76465,60,0
310,75282,76644,164,0
313,75767,76823,104,0
312,75648,76942,84,0
315,76527,77539,60,0
314,76385,77718,160,0
317,77296,78254,0,0
316,77121,78373,82,0
319,78058,79026,0,0
318,77855,79145,114,0
320,78616,79790,60,0
321,78826,79969,177,0
323,79590,80530,0,0
322,79349,80709,149,0
325,80889,81856,0,0
324,80753,82035,146,0
327,82199,83125,0,0
326,82162,83389,60,0
328,83500,84470,0,0
329,83591,84747,0,0
330,85678,244,60,0
331,85743,557,60,0
332,1457,2374,0,0
333,1507,2682,0,0
335,5045,6013,0,0
334,5033,6132,16,0
336,12076,13021,0,0
337,12106,13318,0,0
338,13675,14640,0,0
339,13735,14989,60,0
340,15284,16210,0,0
341,15368,16643,60,0
342,17141,18111,0,0
343,17337,18504,0,0
344,19002,19969,0,0
346,19557,20497,0,0
345,19312,20616,100,0
347,19802,20979,0,0
348,20115,21098,17,0
349,20302,21499,0,0
350,20682,21650,0,0
351,20804,22018,0,0
352,21250,22219,0,0
353,21302,22517,60,0
355,21816,22838,60,0
354,21793,22995,0,0
356,22235,23184,0,0
357,22278,23482,0,0
358,22654,23621,0,0
359,22765,23854,60,0
360,23076,24021,0,0
362,23500,24503,39,0
361,23238,24622,179,0
364,23937,24895,0,0
363,23727,25014,101,0
366,24359,25205,0,0
365,24229,25426,0,0
368,24778,25735,0,0
367,24723,25998,60,0
369,25202,26191,60,0
370,25207,26400,0,0
371,25689,26625,0,0
372,25830,26936,0,0
373,26175,27203,60,0
374,26453,27629,0,0
375,26662,27808,175,0
377,27147,28113,0,0
376,27072,28292,76,0
378,27634,28584,0,0
379,27671,28882,0,0
380,28126,29087,0,0
381,28291,29504,0,0
382,28609,29623,44,0
384,29102,30055,5,0
383,28903,30174,179,0
386,29421,30424,60,0
385,29288,30603,109,0
388,29750,30782,85,0
387,29659,30901,27,0
390,30081,31027,0,0
391,30401,31312,13,0
389,30053,31491,239,0
393,30725,31718,53,0
392,30456,31837,179,0
395,31035,31997,0,0
394,30845,32176,172,0
397,31362,32311,0,0
396,31249,32433,0,0
399,31690,32649,0,0
398,31623,32818,0,0
401,32011,32982,0,0
400,32004,33139,0,0
402,32336,33258,95,0
403,32371,33575,0,0
404,32657,33694,80,0
405,32753,33924,0,0
407,33137,34142,60,0
406,33114,34326,60,0
409,33616,34509,0,0
408,33458,34688,80,0
410,33812,34940,0,0
411,34088,35119,75,0
412,34167,35434,60,0
414,34570,35553,43,0
413,34515,35790,60,0
416,35045,36007,0,0
415,34880,36126,35,0
418,35524,36497,45,0
417,35254,36616,179,0
419,35610,36758,0,0
421,35995,36956,0,0
420,35960,37122,0,0
423,36474,37441,0,0
422,36329,37560,71,0
425,36837,37766,0,0
424,36731,37946,0,0
427,37209,38172,0,0
426,37126,38314,0,0
429,37580,38550,0,0
428,37536,38798,60,0
431,37954,38983,60,0
430,37929,39102,35,0
432,38323,39275,0,0
433,38353,39549,0,0
434,38694,39668,5,0
435,38742,39935,0,0
436,39068,40054,52,0
437,39146,40350,0,0
438,39434,40469,96,0
439,39557,40820,54,0
440,39797,40939,179,0
442,40027,41058,75,0
441,39980,41177,66,0
443,40264,41296,63,0
444,40283,41494,23,0
445,40502,41613,179,0
447,40743,41732,40,0
446,40610,41911,131,0
449,40976,42030,106,0
450,41210,42209,28,0
448,40946,42328,194,0
451,41269,42507,35,0
454,41678,42626,23,0
452,41449,42745,329,0
455,41901,42924,83,0
457,42136,43103,4,0
456,41920,43222,114,0
453,41594,43341,553,0
458,42242,43520,65,0
461,42616,43699,117,0
459,42372,43878,581,0
464,43101,44057,3,0
463,42902,44176,124,0
460,42569,44295,516,0
462,42865,44414,590,0
468,43558,44593,98,0
467,43532,44772,46,0
466,43335,44891,587,0
465,43222,45070,688,0
470,43830,45189,175,0
469,43784,45308,585,0
472,44135,45427,217,0
471,44015,45546,562,0
473,44248,45725,535,0
476,44722,45904,231,0
475,44492,46023,572,0
474,44431,46142,507,0
479,45055,46261,6,0
482,45413,46380,15,0
478,44956,46499,580,0
477,44733,46678,730,0
480,45192,46857,703,0
484,45657,47036,174,0
481,45369,47215,652,0
483,45651,47334,736,0
485,45871,47513,711,0
487,46098,47632,570,0
486,45947,47811,708,0
489,46336,47930,632,0
488,46250,48049,594,0
491,46564,48168,658,0
490,46557,48287,588,0
492,46792,48466,735,0
494,47020,48585,674,0
493,46861,48704,639,0
496,47386,48883,537,0
495,47276,49062,612,0
498,47755,49241,526,0
499,48098,49360,84,0
497,47699,49479,594,0
500,48119,49598,526,0
502,48485,49717,20,0
503,48841,49836,31,0
501,48477,49955,575,0
504,48892,50074,35,0
505,49208,50193,41,0
506,49291,50486,0,0
507,49570,50605,70,0
509,49933,50960,58,0
508,49696,51079,179,0
511,50293,51294,60,0
510,50094,51413,107,0
513,50663,51632,0,0
512,50505,51811,98,0
515,51063,51961,0,0
514,50932,52189,60,0
517,51453,52418,0,0
516,51356,52537,30,0
519,51848,52811,0,0
518,51781,52963,0,0
521,52246,53169,0,0
520,52219,53363,0,0
522,52634,53602,0,0
523,52643,53872,60,0
524,53033,54051,71,0
525,53063,54219,0,0
526,53433,54453,60,0
527,53487,54629,0,0
528,53825,54787,0,0
529,53917,54973,60,0
530,54228,55256,60,0
531,54359,55627,60,0
533,54736,55806,134,0
532,54730,55936,0,0
535,55233,56246,60,0
534,55092,56365,94,0
536,55461,56617,0,0
537,55731,56736,51,0
538,55832,57107,60,0
540,56245,57226,13,0
539,56179,57444,60,0
542,56735,57699,60,0
541,56540,57878,127,0
543,56910,58120,0,0
544,57225,58299,103,0
545,57291,58472,0,0
547,57717,58683,0,0
546,57663,58802,11,0
548,58131,59059,0,0
549,58139,59296,0,0
550,58544,59478,0,0
551,58621,59748,0,0
552,58953,59916,0,0
553,59093,60237,0,0
554,59371,60356,73,0
556,59773,60737,0,0
555,59572,60856,94,0
558,60186,61127,0,0
